plate,reviewer_comments
goml,get on my level
goomf,get out of my face
gooml,get out of my life
gop,grand old party
gp,general principle
gpa,grade point average
gpc,generic pack of cigarettes
gpl,general public license
gpoy,gratuitous picture of yourself
gpoyw,gratuitous picture of yourself wednesday
gprs,general packet radio services
gps,global positioning system
gpu,graphics processing unit
gr,got to run
gsd,getting stuff done
gsm,global system for mobile communications
gsoh,good sense of humor
gsr,gun shot residue
gstq,god save the queen
gsw,gun shot wound
gtb,go to bed
gtbb,good to be back
gtbosh,glad to be of some help
gtd,getting things done
gtg,got to go
gtgg,got to get going
gth,go to hell
gthba,good times had by all
gtho,get the hell out
gtk,good to know
gtm,giggling to myself
gto,gran turismo omologato
gtrm,going to read mail
gtsy,good to see you
gtts,got the t shirt
gtw,got to work
gu,grow up
guti,get used to it
gw,good work
gwas,game was a success
gwc,guy with camera
gwg,girl with glasses
gwi,get with it
gwk,game winning kill
gwp,gift with purchase
gwr,guinness world records
gws,get well soon
gwtf,go with the flow
gwtp,get with the program
gyaldem,group of girls
gyc,get your coat
gyfs,get your facts straight
gyo,get your own
gyt,get yourself tested
hagd,have a good day
hage,have a good evening
hagl,have a good life
hagn,have a good night
hago,have a good one
hags,have a great summer
hagt,have a great time
haistk,how am i supposed to know
hand,have a nice day
hawt,hot having a wonderful time
hay,how are you
hayd,how are you doing
hayt,how are you today
hbd,happy birthday
hbk,heart break kid
hbn,how about now
hbo,home box office
hbp,half blood prince 
hbt,how bout that
hbtu,happy birthday to you
hbty,happy birthday to you
hby,how about you
hc,holy cow
hcdajfu,he could do a job for us
hcit,how cool is that
hd,high definition
hdd,hard disk drive
hdmi,high definition multimedia interface
hdth,how did that happen
hdtv,high definition television
hdy,how dare you
hdyd,how do you do
hdydt,how did you do that
hdyk,how do you know
he,happy ending high explosives
hea,happily ever after
henry,high earner not rich yet
hf,have fun
hffa,hot from far away
hfgl,have fun good luck
hfy,here for you happy for you
hg,holy grail
hgh,haters going to hate
hgi,how goes it
hgl,happy go lucky
hgtv,home and garden television
hgv,heavy goods vehicle
hh,holding hands
hhis,hanging head in shame
hhoj,ha ha only joking
hhok,ha ha only kidding
hhvf,ha ha very funny
hhww,holding hands while walking
hig,how is it going
hiik,hell if i know
himym,how i met your mother 
hiv,human immunodeficiency virus
hiwth,hate it when that happens
hjntiy,he is just not that into you
hk,hong kong hostile kids
hl,half life 
hlas,hook line and sinker
hmb,hit me back 
hmi,human machine interface
hmihy,how may i help you
hml,hate my life
hmp,help me please
hms,her majestys ship 
hmu,hit me up
hmul,hit me up later
hmv,his masters voice
hng,horny net geek
hnos,home network operating system
hnr,hit n run
hny,happy new year
ho,hold on head office
hoa,home owners association
hoas,hold on a second
hoay,how old are you
hof,hall of fame heavy on flag
hog,harley owner group
hoh,head over heels  hard of hearing
holland,hope our love lasts and never dies
hov,high occupancy vehicle
howdy,how do you do
hp,harry potter
hq,high quality
hr,human resources
hrc,human rights campaign
hrh,her royal highness
hsbc,hong kong and shanghai banking corporation
hsh,home sweet home
hsik,how should i know
hsit,how sad is that
hsl,hue saturation lightness
hsm,high school musical
hsp,highly sensitive person
hspda,high speed packet data access
hst,high speed train
hsv2,herpes simplex virus 2
ht,hat tip  home time handheld transceiver
htbt,had to be there
htc,hit the cell
hte,hard to explain
htg,hard to get
hth,hope that helps how the hell
hthfys,hope to hear from you soon
htm,hand to mouth
html,hypertext markup language
htsys,hope to see you soon
http,hyper text transfer protocol
https,hyper text transfer protocol secure
httr,hail to the redskins
hu,hollywood undead 
hua,heard understood acknowledged
hvac,heating ventilating air conditioning
hvd,happy valentines day
hwb,hottie with body
hwga,here we go again
hwp,height weight proportional
hwsnbn,he who shall not be named
hwu,hey what is up
hwyd,how was your day
hyb,how you been
hyd,how ya doing
hyfb,hope you feel better
hyg,here you go
hyh,have you heard hold your horses
hyip,high yield investment program
hyp,harvard yale princeton
hys,have your say
hyu,hit you up
ia,i agree
iab,i am bored
iabw,in a bad way
iac,in any case
iad,it all depends
iae,in any event
iag,it is all good
iak,i already know
ial,i are not laughing i actually laughed
ialto,i always love that one
iama,i am mildly amused
ianad,i am not a doctor
ianal,i am not a lawyer 
ias,in a second
iau,i adore you
iaw,in accordance with i agree with
iawtc,i agree with that comment
iawtcsm,i agree with this comment so much
iawtp,i agree with this post
iay,i adore you
ib,i am back
ib2d,i beg to differ
ib4tl,in before the lock
iban,international bank account number
ibb,i will be back
ibk,idiot behind keyboard
ibl,in before lock
ibm,international business machines
ibmts,i have been meaning to say
ibs,irritable bowel syndrome
ibtd,in before the delete i beg to differ
ibtl,in before the lock
ibuwu,i am breaking up with you
ibw,i will be waiting
ibyp,i beg your pardon
icam,i could not agree more
icay,i care about you
icb,i cannot believe
icbb,i cannot be bothered
icbi,i cannot believe it
icbinb,i cannot believe it is not butter
icbm,intercontinental ballistic missile
icbsst,i cannot believe she said that
icbw,it could be worse
icc,ice crown citadel 
iccl,i could not care less
icr,i cannot remember
icsl,i could not stop laughing
icstay,i cannot stop thinking about you
ict,information and communication technology
icu,intensive care unit i see you
icw,in connection with i cannot wait
icydk,in case you did not know
icymi,in case you missed it
idbi,i do not believe it
idby,i do not believe you
idc,i do not care
ide,integrated development environment integrated device electronics
idec,i do not even care
idek,i do not even know
ideky,i do not even know you
idewtk,i do not even want to know
idfg,i do not feel good
idfli,i do not feel like it
idgad,i do not give a damn
idghp,i do not get hashtag phrases i do not get his or her point i do not generally hate people
idgi,i do not get it
idhac,i do not have a clue
idhtt,i do not have the time
idi,i doubt it
idj,i do not judge
idk,i do not know
idke,i do not know either
idkw,i do not know why
idkwtd,i do not know what to do
idkwym,i do not know what you mean
idky,i do not know why
idl,i do not like 
idli,i do not like it
idlt,i do not like that
idly,i do not like you
idm,it does not matter intelligent dance music
idk,i do not know
idnk,i do not know
idr,i do not remember
idrc,i do not really care
idrk,i do not really know
idst,if destroyed still true
idt,i do not think
idts,i do not think so
idu,i do not understand
idunno,i do not know
idw,i do not want
idwk,i do not want to know
idwt,i do not want to
idwtai,i do not want to talk about it
idwtk,i do not want to know
ie,id est  internet explorer
ied,improvised explosive device
ieee,institute of electrical and electronics engineers
iep,individualized education program
ifm,in fond memory
igi,i get it
igm,i got mine
igmc,i will get my coat
ign,in game name
ignb,i am going now bye
ignts,i have got nothing to say
igs,i guess so
igtg,i got to go
igu,i give up
igwt,in god we trust
igy,i get you
igyb,i have got your back
ih8u,i hate you
ihac,i have a customer
ihdk,i honestly do not know
ihm,i hate mondays
ihml,i hate my life
ihnc,i have no clue
ihni,i have no idea
iho,in honor of
ihop,international house of pancakes
ihp,i hate people
ihs,i hope so
iht,i hate this
ihy,i hate you
ihydm,i hope you do not mind
ihysm,i hate you so much
iib,ignorance is bliss
iifym,if it fits your macros
iih,if i am honest
iil,i am in love
iinm,if i am not mistaken
iir,idiot in room
iirc,if i remember correctly
iis,internet information services
iituwutmas,if i tell you will you tell me a secret
iitwi,in it to win it
iitywimiwhtky,if i tell you what it means i will have to kill you
iitywtmwybmad,if i tell you what this means will you buy me a drink
iitywtmwykm,if i tell you what this means will you kiss me
iitywybmad,if i tell you will you buy me a drink
iiuc,if i understand correctly
iiwii,it is what it is
iiwy,if i were you
ij,i am joking
ijaf,it is just a fact
ijdk,i just do not know
ijg,i just giggled
ijk,i am just kidding
ijl,i just laughed
ijs,i am just saying
ijwtk,i just want to know
ijwts,i just want to say
ik,i know
ikh,i know huh
ikhyf,i know how you feel
ikly,i kind of like you
ikm,i know man
ikmty,i know more than you
ikn,i know not
ikr,i know right
ikt,i knew that
iktf,i know the feeling
iktr,i know that is right
ikwum,i know what you mean
ikwydls,i know what you did last summer
ikwyl,i know where you live
ikwym,i know what you mean
iky,i know you
ikyp,i will keep you posted
il,in love
ild,ich liebe dich 
ilh,i love him or her
